,name,acres,shore_miles,county
3109,Unnamed,15.07512271,0.88453341,Wadena
3110,,9.77435481,0.47228048,Cass
3111,,4.3248011,0.37659609,Cook
3112,,7.73386566,0.47976765,Hubbard
3113,,6.17294701,0.42885973,Kanabec
3114,,2.58717561,0.25544733,Beltrami
3115,,4.08267756,0.33863183,Cook
3116,,3.73309569,0.2744211,Brown
3117,,2.13103276,0.23772433,Clearwater
3118,,2.98275011,0.2530112,Mahnomen
3119,,7.08898269,0.57824625,Hubbard
3120,,4.52571516,0.39635345,Martin
3121,,4.26978807,0.34859465,Cook
3122,,7.63997132,0.46803064,Crow Wing
3123,,3.75966574,0.30014605,Kandiyohi
3124,,7.07007587,0.47777874,St. Louis
3125,,2.38975028,0.25111587,St. Louis
3126,,4.86806659,0.38433357,Washington
3127,,3.40712736,0.32504405,St. Louis
3128,,4.26558935,0.39476921,Lake
3129,,2.37073706,0.25616645,St. Louis
3130,,0.8744129,0.15626544,
3131,,0.54214493,0.10643981,
3132,,0.72557821,0.13399659,
3133,,0.37259502,0.10272203,
3134,,2.10153019,0.23121456,
3135,,2.45238218,0.33829339,
3136,,0.14162109,0.0563506,
3137,,0.32943698,0.08438174,
3138,,0.18993147,0.06850453,
3139,,0.78124501,0.1390525,
3140,,2.43914663,0.31122195,
3141,,0.25127839,0.0860509,
3142,,0.79881879,0.16647649,
3143,,0.77394613,0.14227362,
3144,,0.27139629,0.08118086,
3145,,0.52301858,0.11048633,
3146,,0.34357696,0.08994315,
3147,,1.06166722,0.17717742,
3148,,0.10434266,0.04772568,
3149,,0.20914057,0.06786766,
3150,,1.31680941,0.16834823,
3151,,0.54667966,0.11606458,
3152,,0.18531033,0.06356539,
3153,,0.19621037,0.07255834,
3154,,0.86309253,0.15153408,
3155,,0.11642961,0.05048353,
3156,,0.27975487,0.09055427,
3157,,0.83838374,0.13616539,
3158,,2.20775528,0.26799054,
3159,,0.4402108,0.10200688,
3160,,0.32047968,0.08326075,
3161,,2.3736667,0.23247706,
3162,,0.15594306,0.05772176,
3163,,3.08927461,0.27623111,
3164,,1.47463253,0.22023219,
3165,,0.70580634,0.12023324,
3166,,0.51913814,0.11428922,
3167,,0.57762761,0.11486226,
3168,,105.1739578,1.67709673,
3169,,0.31682268,0.10078625,
3170,,0.21486982,0.07313571,
3171,,0.16596461,0.06047516,
3172,,1.38649949,0.18178307,
3173,,0.6846064,0.12718018,
3174,,1.9967803,0.21005806,
3175,,0.78535646,0.14587392,
3176,,0.11681207,0.05094775,
3177,,0.3853219,0.12617743,
3178,,3.16942574,0.3356957,
3179,,0.16840454,0.06190712,
3180,,6.02068327,0.36560078,
3181,,1.02215408,0.15880708,
3182,,2.9424765,0.36294731,
3183,,0.29717166,0.07836385,
3184,,0.18161985,0.07647654,
3185,,0.19540809,0.07278784,
3186,,0.81690339,0.14560331,
3187,,0.93447847,0.15950795,
3188,,0.13633027,0.05467935,
3189,,6.73088062,0.78002337,
3190,,0.17004424,0.06669564,
3191,,0.29761656,0.08268766,
3192,,0.88714222,0.14727518,
3193,,1.6348432,0.1921133,
3194,,0.27763833,0.0828184,
3195,,0.10995927,0.05256011,
3196,,2.95806668,0.30589336,
3197,,0.61111667,0.15325705,
3198,,6.60010851,0.57255511,
3199,,0.23430602,0.08130889,
3200,,0.22124915,0.07109658,
3201,,0.20620621,0.06948903,
3202,,1.62152743,0.20013354,
3203,,5.01618403,0.84388733,
3204,,0.78307085,0.13464273,
3205,,1.60663974,0.22285491,
3206,,7.50003624,0.78726899,
3207,,0.47556448,0.12027483,
3208,,3.44865034,0.41416235,
3209,,1.06806491,0.16895468,
3210,,6.91233054,0.77894843,
3211,,0.32950882,0.08861129,
3212,,0.20459282,0.06931908,
3213,,0.1234077,0.06805313,
3214,,0.62606708,0.20620474,
3215,,1.6692226,0.36434839,
3216,,0.93747989,0.1737214,
3217,,0.54648944,0.109889,
3218,,0.91295785,0.16428477,
3219,,0.18054394,0.06077341,
3220,,0.6047722,0.13051411,
3221,,0.28271917,0.08037846,
3222,,0.2660791,0.07790267,
3223,,0.21084107,0.07180966,
3224,,0.1261712,0.05818021,
3225,,4.47194134,0.55985111,
3226,,0.17012228,0.0743272,
3227,,0.14361557,0.05781038,
3228,,0.11332205,0.05434201,
3229,,0.27344352,0.08408589,
3230,,0.28994589,0.07936537,
3231,,0.15793732,0.05989865,
3232,,1.60868799,0.27871264,
3233,,0.21960659,0.06885313,
3234,,1.69293488,0.39635629,
3235,,0.17221429,0.06031333,
3236,,0.34443862,0.08880868,
3237,,0.17312474,0.06554066,
3238,,0.21675996,0.07813832,
3239,,0.85066203,0.13615964,
3240,,0.43049518,0.10416797,
3241,,0.47152417,0.1276572,
3242,,0.13262578,0.06395322,
3243,,0.36152563,0.08655082,
3244,,0.16517005,0.06025213,
3245,,0.26098103,0.07588485,
